Method,ACC,PREC,TPR,F1,FNR,FPR,AUC
BoW,0.9943,0.9978,0.9868,0.9923,0.013181019332161687,0.0012804097311139564,0.9978
TF-IDF,0.9927,0.9934,0.9868,0.9901,0.013181019332161687,0.0038412291933418692,0.9978
Word2Vec,0.9929,0.9916,0.989,0.9903,0.010984182776801407,0.0048655569782330346,0.9982
FastText,0.9932,0.9956,0.9859,0.9907,0.014059753954305799,0.002560819462227913,0.9993
Bert,0.995,0.9982,0.9881,0.9932,0.011862917398945518,0.001024327784891165,0.9996
Ours,0.9945,0.996,0.989,0.9925,0.010984182776801407,0.0023047375160051217,0.9987
