seed,experiment,removed_type,removed_name,kept_features,feature_count,acc,prec,rec,f1,auc,tp,tn,fp,fn,threshold,threshold_source,delta_f1,delta_auc
43,drop_feature_logic,feature,logic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999976140003777,2170,3861,0,1,0.18,artifact,0.0,-0.00011381218198347476
43,drop_feature_arith,feature,arith,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9997822775344654,2170,3861,0,1,0.18,artifact,0.0,0.00010152428392884438
43,drop_feature_alpha,feature,alpha,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998740192199428,2170,3861,0,1,0.18,artifact,0.0,9.782598451413271e-06
43,drop_feature_sqlkw,feature,sqlkw,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999835366026062,2170,3861,0,1,0.18,artifact,0.0,-9.973478421199111e-05
43,drop_feature_sqlfunc,feature,sqlfunc,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw",11,1.0,1.0,1.0,1.0,1.0,2171,3861,0,0,0.18,artifact,-0.00023036166781842393,-0.00011619818160579776
44,drop_feature_qlen,feature,qlen,"wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.9999977333003587,2168,3859,2,3,0.18,artifact,0.0,4.77199924575622e-07
44,drop_feature_wcount,feature,wcount,"qlen,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.999997971900321,2168,3859,2,3,0.18,artifact,0.0,2.3859996223229984e-07
44,drop_feature_sq,feature,sq,"qlen,wcount,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9997930145327658,2168,3861,0,3,0.18,artifact,-0.0004604047898874031,0.0002051959675174464
44,drop_feature_dq,feature,dq,"qlen,wcount,sq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.9999983298002644,2168,3859,2,3,0.18,artifact,0.0,-1.1929998111614992e-07
44,drop_feature_puncts,feature,puncts,"qlen,wcount,sq,dq,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.9999990456001511,2168,3859,2,3,0.18,artifact,0.0,-8.350998678130495e-07
