experiment,removed_type,removed_name,kept_features,feature_count,threshold_source,n_seeds,acc_mean,prec_mean,rec_mean,f1_mean,auc_mean,delta_f1_mean,delta_auc_mean,threshold_mean,acc_std,prec_std,rec_std,f1_std,auc_std,delta_f1_std,delta_auc_std,threshold_std
keep_group_obfuscation,keep_group,obfuscation,"sq,dq,puncts,comments,arith",5,artifact,5,0.9830901856763926,0.9763353114396887,0.9766927683095348,0.976513276205748,0.9975972387303571,0.023072072792178776,0.0023566160369476786,0.18,0.00042266408434954217,0.0014992239740654356,0.00041198857254717136,0.0005643624697735982,3.295347518776523e-05,0.00028701569380083357,5.6067399318042266e-05,0.0
keep_group_structure,keep_group,structure,"qlen,wcount,spaces,alpha",4,artifact,5,0.9952586206896552,0.9912862109473503,0.9955780746199908,0.9934274530035712,0.9996442116663212,0.006157895994355655,0.00030964310098353655,0.18,0.0004161107559021856,0.0007219097122398723,0.0005251844426988313,0.000576094018483991,5.4801131643120706e-05,0.0004972542348538713,9.831525485764452e-05,0.0
keep_group_semantic,keep_group,semantic,"logic,sqlkw,sqlfunc",3,artifact,5,0.9965517241379309,0.9966774342408862,0.9937356057116535,0.9952031174365301,0.996997398425312,0.004382231561396788,0.0029564563419929523,0.18,0.000444841109582183,0.0018573707242730067,0.0006179828588207268,0.0006139771739716506,0.0,0.0010260606528935147,4.8859452548888176e-05,0.0
full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,artifact,5,0.9997015915119363,0.999815668202765,0.999355135882082,0.9995853489979268,0.9999538547673048,0.0,0.0,0.18,0.000296560739721437,0.0004121784290322161,0.00041198857254717136,0.0004120834789218729,4.88594525488954e-05,0.0,0.0,0.0
