experiment,removed_type,removed_name,kept_features,feature_count,threshold_source,n_seeds,acc_mean,prec_mean,rec_mean,f1_mean,auc_mean,delta_f1_mean,delta_auc_mean,threshold_mean,acc_std,prec_std,rec_std,f1_std,auc_std,delta_f1_std,delta_auc_std,threshold_std
drop_group_obfuscation,group,obfuscation,"qlen,wcount,spaces,logic,alpha,sqlkw,sqlfunc",7,artifact,5,0.9996021220159153,1.0,0.9988945186549977,0.9994469408844655,0.999753562029011,0.000138408113461308,0.00020029273829378358,0.18,9.080281125750207e-05,0.0,0.00025229044564956885,0.0001262906117109424,8.070622340091093e-05,0.0003493187702646945,7.105409878196645e-05,0.0
drop_group_semantic,group,semantic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha",9,artifact,5,0.9989058355437667,0.9988020974893026,0.9981575310916628,0.9984795703191531,0.999992722701152,0.0011057786787735946,-3.886793384715315e-05,0.18,0.0003011588548505829,0.0007701515174917295,0.0003257055648026437,0.00041803198800854436,4.401183108763423e-06,0.0004424944812075381,5.211063597093828e-05,0.0
drop_group_structure,group,structure,"sq,dq,puncts,comments,logic,arith,sqlkw,sqlfunc",8,artifact,5,0.999502652519894,1.0,0.9986181483187471,0.9993085964507952,0.9999792656632822,0.00027675254713173115,-2.5410895977451275e-05,0.18,0.0,0.0,0.0,0.0,1.1785485668127864e-05,0.0004120834789218766,5.5772773069581346e-05,0.0
full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,artifact,5,0.9997015915119363,0.999815668202765,0.999355135882082,0.9995853489979268,0.9999538547673048,0.0,0.0,0.18,0.000296560739721437,0.0004121784290322161,0.00041198857254717136,0.0004120834789218729,4.88594525488954e-05,0.0,0.0,0.0
